unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,RSI_14,MA,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9
1588636800000.0,2020-05-05 00:00:00,BTC/USDT,8871.92,9118.58,8760.0,9021.83,76480.765342,683083018.8779808,812543.0,73.02979230107465,8203.102142857144,431.1608010103273,110.93322523937536,320.22757577095194
1588723200000.0,2020-05-06 00:00:00,BTC/USDT,9021.36,9395.0,8906.21,9142.92,105925.30242,972793508.4649074,1007661.0,74.27187486043712,8347.229285714286,447.9136205606201,102.14883583173446,345.7647847288856
1588809600000.0,2020-05-07 00:00:00,BTC/USDT,9143.4,10067.0,9021.0,9986.4,147154.611378,1409783462.006364,1254835.0,80.8780439088006,8526.087142857143,506.91740295963973,128.92209458460331,377.9953083750364
1588896000000.0,2020-05-08 00:00:00,BTC/USDT,9986.3,10035.96,9705.0,9800.01,100683.7964,997005843.7404792,967816.0,76.22061237368948,8690.016428571429,538.2141922629544,128.17510711033435,410.03908515262003
1588982400000.0,2020-05-09 00:00:00,BTC/USDT,9800.02,9914.25,9520.0,9539.4,81950.679567,795001351.6797024,839384.0,70.1388733864237,8832.925714285713,542.5696484469681,106.02445063547844,436.5451978114897
1589068800000.0,2020-05-10 00:00:00,BTC/USDT,9539.1,9574.83,8117.0,8722.77,183865.182028,1594996476.9756367,1565771.0,55.25959204676139,8906.473571428573,492.313166140837,44.614374663477804,447.6987914773592
1589155200000.0,2020-05-11 00:00:00,BTC/USDT,8722.77,9168.0,8200.0,8561.52,168807.251832,1468392820.7608037,1367382.0,52.87437716197321,8962.680714285714,437.565982402426,-8.106247259946542,445.67222966237256
1589241600000.0,2020-05-12 00:00:00,BTC/USDT,8562.04,8978.26,8528.78,8810.79,86522.780066,760195457.0509585,784859.0,56.033704901761745,9039.238571428572,404.08297340343233,-33.271405007152225,437.35437841058456
1589328000000.0,2020-05-13 00:00:00,BTC/USDT,8810.99,9398.0,8792.99,9309.37,92466.274018,839725719.9602077,869216.0,61.581579169012905,9077.152857142857,402.76843064223067,-27.668758214683123,430.4371888569138
1589414400000.0,2020-05-14 00:00:00,BTC/USDT,9309.35,9939.0,9256.76,9791.98,129565.37747,1247456797.813666,1199530.0,66.04762381460544,9160.865714285714,426.3347019509729,-3.2819895247527597,429.61669147572564
1589500800000.0,2020-05-15 00:00:00,BTC/USDT,9791.97,9845.62,9150.0,9316.42,115890.761516,1099721375.8919055,1055630.0,58.794665819777144,9195.827142857142,412.85386088316227,-13.410264474050678,426.26412535721295
1589587200000.0,2020-05-16 00:00:00,BTC/USDT,9315.96,9588.0,9220.0,9381.27,59587.627862,560547005.0259086,692028.0,59.448628340112634,9225.057142857142,401.8012959681728,-19.570263511232156,421.37155947940494
1589673600000.0,2020-05-17 00:00:00,BTC/USDT,9380.81,9888.0,9322.1,9680.04,68647.764323,663088800.815278,722718.0,62.408676169252146,9281.191428571428,406.6684347799146,-11.762499759592288,418.4309345395069
1589760000000.0,2020-05-18 00:00:00,BTC/USDT,9681.11,9950.0,9464.23,9733.93,82006.603583,797622297.3261682,794292.0,62.93423582297682,9342.760714285714,409.7511665692891,-6.9438143761742595,416.6949809454634
1589846400000.0,2020-05-19 00:00:00,BTC/USDT,9733.93,9897.21,9474.0,9775.53,78539.760454,760713946.0085461,773581.0,63.36008778492845,9396.596428571429,410.6432237674853,-4.841405742382449,415.4846295098678
1589932800000.0,2020-05-20 00:00:00,BTC/USDT,9775.13,9842.0,9326.0,9511.43,74923.73809,721190802.7634026,731189.0,58.74562668524591,9422.91857142857,391.65296622265487,-19.065330629770358,410.7182968524252
1590019200000.0,2020-05-21 00:00:00,BTC/USDT,9511.43,9578.47,8815.0,9068.65,108928.780969,1002046265.9412596,951971.0,51.91858791776126,9357.365,346.30687840300016,-51.52913475954011,397.83601316254027
1590105600000.0,2020-05-22 00:00:00,BTC/USDT,9067.51,9271.0,8933.52,9170.0,58943.131024,537847834.4967086,693694.0,53.25761133043367,9312.364285714286,312.5036535758409,-68.26588766935953,380.7695412452004
1590192000000.0,2020-05-23 00:00:00,BTC/USDT,9170.0,9307.85,9070.0,9179.15,43526.296966,400407195.6289224,512460.0,53.38383173098199,9286.632142857143,282.8333753458901,-78.34893271944827,361.18230806533836
1590278400000.0,2020-05-24 00:00:00,BTC/USDT,9179.01,9298.0,8700.0,8720.34,70379.86645,636787240.3733248,774088.0,46.59009501594684,9286.458571428571,229.04173602214178,-105.71245763455727,334.75419365669904
1590364800000.0,2020-05-25 00:00:00,BTC/USDT,8718.14,8979.66,8642.72,8900.35,62833.910949,553545285.9140139,733557.0,49.315449561209526,9310.660714285716,194.28072435718786,-112.37877543960894,306.6594997967968
1590451200000.0,2020-05-26 00:00:00,BTC/USDT,8900.35,9017.67,8700.0,8841.18,58299.770138,516455128.890688,678304.0,48.440467499442164,9312.831428571428,160.9608930274626,-116.55888541546739,277.51977844293
1590537600000.0,2020-05-27 00:00:00,BTC/USDT,8841.0,9225.0,8811.73,9204.07,68910.355514,624660855.7800369,662850.0,53.84873180091769,9305.310000000001,154.13761215272098,-98.70573303216722,252.8433451848882
1590624000000.0,2020-05-28 00:00:00,BTC/USDT,9204.07,9625.47,9110.0,9575.89,74110.787662,693930106.1813825,738725.0,58.63625822464412,9289.875000000002,169.1735708369124,-66.93581947838064,236.10939031529304
1590710400000.0,2020-05-29 00:00:00,BTC/USDT,9575.87,9605.26,9330.0,9427.07,57374.362961,542758086.6064701,593705.0,56.126628018949404,9297.778571428571,170.74965056287328,-52.28779180193581,223.0374423648091
